"name","artists","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"A Sky Full of Stars","Coldplay","267866","Ghost Stories","2014-05-19","0.545","0.675","6","-6.474","1","0.0279","0.00617","0.00197","0.209","0.162","124.97"
"Something Just Like This","The Chainsmokers, Coldplay","247160","Memories...Do Not Open","2017-04-07","0.617","0.635","11","-6.769","0","0.0317","0.0498","1.44e-05","0.164","0.446","103.019"
"Hymn for the Weekend","Coldplay","258266","A Head Full of Dreams","2015-12-04","0.491","0.693","0","-6.487","0","0.0377","0.211","6.92e-06","0.325","0.412","90.027"
"Paradise","Coldplay","278719","Mylo Xyloto","2011-10-24","0.449","0.585","5","-6.761","1","0.0268","0.0509","8.75e-05","0.0833","0.212","139.631"
"Adventure of a Lifetime","Coldplay","263786","A Head Full of Dreams","2015-12-04","0.638","0.924","7","-3.887","1","0.036","0.00205","0.000175","0.149","0.53","111.995"
"Higher Power","Coldplay","206681","Music Of The Spheres","2021-10-15","0.507","0.832","10","-5.931","1","0.0425","0.00643","1.6e-05","0.229","0.485","177.894"
"Fix You","Coldplay","295533","X&Y","2005-06-07","0.209","0.417","3","-8.74","1","0.0338","0.164","0.00196","0.113","0.124","138.178"
"My Universe","Coldplay, BTS","226198","Music Of The Spheres","2021-10-15","0.573","0.711","1","-6.268","0","0.0406","0.0114","0.0","0.328","0.47","105.006"
"Ghost","Justin Bieber","153190","Justice","2021-03-19","0.601","0.741","2","-5.569","1","0.0478","0.185","2.91e-05","0.415","0.441","153.96"
"Nonsense","Sabrina Carpenter","163648","emails i can't send","2022-07-15","0.74","0.697","8","-4.912","1","0.034","0.0268","0.0","0.224","0.732","138.992"
"Just the Way You Are","Bruno Mars","220734","Doo-Wops & Hooligans","2010-10-05","0.635","0.841","5","-5.379","1","0.0422","0.0134","0.0","0.0622","0.424","109.021"
"Clocks","Coldplay","307879","A Rush of Blood to the Head","2002-08-08","0.577","0.749","5","-7.215","0","0.0279","0.599","0.0115","0.183","0.255","130.97"
"Sparks","Coldplay","227093","Parachutes","2000-07-10","0.371","0.268","1","-10.506","1","0.0281","0.748","0.0517","0.104","0.165","102.617"
"Locked out of Heaven","Bruno Mars","233478","Unorthodox Jukebox","2012-12-07","0.726","0.698","5","-4.165","1","0.0431","0.049","0.0","0.309","0.867","143.994"
"That's What I Like","Bruno Mars","206693","24K Magic","2016-11-17","0.853","0.56","1","-4.961","1","0.0406","0.013","0.0","0.0944","0.86","134.066"
"Charlie Brown","Coldplay","285159","Mylo Xyloto","2011-10-24","0.43","0.74","10","-7.072","1","0.0375","0.0212","0.00165","0.33","0.0948","137.978"
"Kill Bill","SZA","153946","SOS","2022-12-08","0.644","0.735","8","-5.747","1","0.0391","0.0521","0.144","0.161","0.418","88.98"
"When I Was Your Man","Bruno Mars","213826","Unorthodox Jukebox","2012-12-07","0.612","0.28","0","-8.648","1","0.0434","0.932","0.0","0.088","0.387","72.795"
"Lover","Taylor Swift","221306","Lover","2019-08-23","0.359","0.543","7","-7.582","1","0.0919","0.492","1.58e-05","0.118","0.453","68.534"
"Lean & $prite","Owen, Asme","154015","Lean & $prite","2024-01-19","0.861","0.615","9","-8.623","0","0.202","0.705","0.0601","0.0965","0.526","127.007"
"Svar","C.Gambino","161739","In Memory Of Some Stand Up Guys","2024-01-05","0.714","0.524","9","-10.01","1","0.296","0.484","0.0462","0.087","0.49","91.777"
"Låt Mig Va","Bolaget, Victor Leksell","120834","Låt Mig Va","2023-12-25","0.565","0.714","9","-5.585","0","0.062","0.0909","0.0","0.112","0.444","145.249"
"Överallt","Dizzy","125092","Överallt","2023-11-01","0.704","0.457","1","-5.596","1","0.21","0.306","0.0","0.205","0.636","100.972"
"Tid & Tro","Victor Leksell","133674","Tid & Tro","2024-01-19","0.602","0.604","0","-6.44","1","0.0497","0.223","0.0","0.11","0.276","138.921"
"You Love Who You Love","Zara Larsson","185743","You Love Who You Love","2024-01-19","0.778","0.714","6","-3.927","1","0.0631","0.0257","2.82e-05","0.0523","0.43","128.036"
"Astronaut - Spotify Singles","Bolaget","139054","Astronaut - Spotify Singles","2023-12-06","0.632","0.82","10","-6.598","0","0.0508","0.0465","0.0","0.316","0.77","125.937"
"Whatever","Kygo, Ava Max","178273","Whatever","2024-01-19","0.576","0.776","3","-5.678","1","0.066","0.114","0.0","0.333","0.596","107.943"
"Djurens vaggvisa","Humlan Djojj, Josefine Götestam","140046","Somna med Humlan Djojj","2020-10-30","0.684","0.0326","0","-17.898","1","0.0583","0.973","2e-06","0.108","0.44","66.685"
"Babblarnas vaggvisa","Babblarna","334053","Upp och ner och hit och dit med Babblarna","2023-09-01","0.299","0.234","11","-13.009","1","0.0321","0.828","0.000101","0.0959","0.333","186.369"
"Dans från dig","Einár, Sara Kurt, Le Winter","136666","Dans från dig","2023-09-22","0.814","0.651","7","-6.817","1","0.245","0.571","0.000252","0.163","0.807","108.003"
"Bättre nu (The Wedding)","Peg Parnevik","204157","Bättre nu (The Wedding)","2023-10-28","0.651","0.312","4","-11.677","1","0.0312","0.815","0.0","0.301","0.569","94.908"
"Lemonade","Y4ska","146562","Lemonade","2023-12-29","0.781","0.683","1","-8.341","1","0.0854","0.567","0.000157","0.141","0.818","122.098"
"Ikväll Igen","Bolaget","137727","Ikväll Igen","2023-04-12","0.617","0.529","0","-7.931","1","0.0957","0.498","0.0","0.553","0.501","165.015"
"Hjärta","B.Baby","158918","Hjärta","2023-10-20","0.688","0.667","1","-9.735","1","0.0604","0.1","0.0494","0.121","0.384","148.109"
"BETONGEN (feat. 23)","VC Barre, 23","138808","ASKER","2024-01-12","0.893","0.823","8","-5.606","0","0.265","0.0965","0.0","0.0932","0.728","127.984"
"Kan Inte Gå","Bolaget","146718","Kan Inte Gå","2021-12-29","0.721","0.414","11","-9.104","0","0.132","0.219","0.0","0.164","0.652","144.758"
"John Snow","Yasin","120944","Handen Under Mona Lisas Kjol (PT:1)","2019-12-25","0.855","0.485","4","-8.565","0","0.0782","0.167","0.0","0.079","0.119","111.978"
"Inatt (Inget Stoppar Oss Nu)","Ellen Krauss","166523","Inatt (Inget Stoppar Oss Nu)","2023-10-28","0.644","0.561","0","-8.988","1","0.032","0.602","5.2e-05","0.13","0.543","147.947"
"Komplicerat","Ant Wan","139200","The Only Wan","2022-09-01","0.503","0.871","2","-6.336","0","0.0885","0.0451","0.0135","0.111","0.383","98.848"
"Jeg vil ha (Parlamentet)","Fjellrev, Roc Meiniac","183615","Jeg vil ha (Parlamentet)","2024-01-19","0.679","0.813","11","-7.528","0","0.115","0.0107","0.000699","0.413","0.323","129.985"
"Ramla","Victor Leksell","208155","Tid & Tro","2024-01-19","0.513","0.536","6","-6.749","1","0.0329","0.13","0.0","0.0751","0.206","149.842"
"Automatic","C.Gambino","130666","In Memory Of Some Stand Up Guys","2024-01-05","0.701","0.516","10","-12.243","0","0.275","0.151","0.821","0.103","0.673","180.088"
"Genom Eld & Vatten - Spotify Singles","estraden","186449","Genom Eld & Vatten - Spotify Singles","2024-01-19","0.297","0.259","2","-9.295","1","0.0332","0.821","0.0","0.101","0.505","80.462"
"Go","Ant Wan","154043","Go","2023-09-22","0.636","0.48","4","-3.211","0","0.326","0.319","0.000163","0.0814","0.334","106.75"
"Move (Ensam) - Spotify Singles","B.Baby","147723","Move (Ensam) - Spotify Singles","2024-01-19","0.587","0.669","1","-7.648","1","0.172","0.501","0.0","0.343","0.61","103.127"
"Memory Lane","Zara Larsson","192133","Memory Lane & Winter Song","2023-11-24","0.64","0.66","6","-4.732","1","0.0615","0.489","0.000516","0.142","0.534","95.902"
"Din låt","Victor Leksell, Einár","163083","Tid & Tro","2024-01-19","0.827","0.494","7","-7.385","1","0.0446","0.187","0.0","0.0857","0.468","111.051"
"TSM","C.Gambino","130526","In Memory Of Some Stand Up Guys","2024-01-05","0.882","0.62","7","-8.067","0","0.158","0.565","0.642","0.0987","0.546","113.999"
"Pärlor","kent","235960","Vapen & ammunition","2002-04-15","0.552","0.811","3","-5.961","0","0.0312","4.64e-05","0.042","0.0764","0.497","131.033"
"Fotografi","Victor Leksell","178991","Tid & Tro","2024-01-19","0.48","0.681","11","-6.551","1","0.0669","0.11","0.0","0.0821","0.331","118.999"
"Somna","Humlan Djojj, Josefine Götestam","160373","Somna med Humlan Djojj","2020-10-30","0.274","0.073","0","-15.555","1","0.0384","0.98","2.36e-05","0.168","0.261","174.298"
"Fånga mig när jag faller","Victor Leksell","148485","Tid & Tro","2024-01-19","0.675","0.464","7","-9.055","1","0.034","0.266","0.000222","0.108","0.15","105.925"
"MIKEY","VC Barre","127878","ASKER","2024-01-12","0.597","0.654","1","-4.945","1","0.334","0.122","0.0","0.0807","0.621","101.961"
"Stjärnorna","Humlan Djojj, Josefine Götestam","166216","Somna med Humlan Djojj","2020-10-30","0.276","0.0676","9","-18.426","1","0.0324","0.985","0.00402","0.0729","0.118","71.766"
"Om jag somnar","Victor Leksell","180580","Tid & Tro","2024-01-19","0.309","0.314","8","-10.567","1","0.0303","0.686","0.0","0.0913","0.226","75.333"
"Thank You (Not So Bad)","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike","140000","Thank You (Not So Bad)","2023-12-01","0.673","0.95","11","-5.149","1","0.0488","0.0229","0.0823","0.398","0.563","150.019"
"هيجيلي موجوع","Tamer Ashour","210714","هيجيلي موجوع","2024-01-11","0.556","0.675","1","-6.85","0","0.0564","0.487","3.53e-05","0.102","0.742","167.826"
"كلام عينيه","Sherine","235833","نساى","2018-10-24","0.573","0.759","1","-4.706","0","0.0428","0.0477","1.37e-06","0.193","0.745","131.931"
"Set Fire to the Rain","Adele","242973","21","2011-01-24","0.603","0.67","2","-3.882","0","0.0249","0.00408","1.68e-06","0.112","0.446","107.993"
"Apocalypse","Cigarettes After Sex","290616","Cigarettes After Sex","2017-06-09","0.37","0.467","5","-9.013","1","0.0273","0.0205","0.572","0.109","0.182","94.485"
"This Is The Life","Amy Macdonald","184413","This Is The Life (eDeluxe)","2007-01-01","0.628","0.882","1","-5.024","0","0.0323","0.259","0.0","0.065","0.853","95.083"
"Cry","Cigarettes After Sex","256799","Cry","2019-10-25","0.406","0.399","7","-10.449","1","0.0278","0.756","0.678","0.112","0.163","142.83"
"Woseltelha","Haifa Wehbe","248241","Woseltelha","2024-01-12","0.671","0.744","5","-6.582","0","0.0381","0.13","2.25e-05","0.105","0.472","91.037"
"Skyfall","Adele","286480","Skyfall","2012-10-04","0.346","0.552","0","-6.864","0","0.0282","0.417","0.0","0.114","0.0789","75.881"
"Nothing's New","Rio Romeo","211000","Good God!","2022-09-23","0.421","0.394","11","-8.312","1","0.0277","0.863","4.74e-06","0.0984","0.399","96.192"
"Rdy","Ayed","270118","Rdy","2023-12-02","0.696","0.672","4","-4.981","0","0.0351","0.534","0.0","0.243","0.626","105.035"
"المهزلة","Nasrat Albader, عثمان عبود","262328","المهزلة","2021-11-08","0.658","0.816","2","-5.723","0","0.127","0.722","0.0","0.315","0.671","106.184"
"ياحلوه يا مظلومه","ابو سراج","235164","ياحلوه يا مظلومه","2010-05-17","0.544","0.992","9","0.856","0","0.0424","0.196","0.0","0.27","0.968","149.957"
"Summertime Sadness","Lana Del Rey","264773","Born To Die – Paradise Edition (Special Version)","2012-01-01","0.566","0.647","1","-6.815","0","0.0335","0.0477","0.0","0.121","0.22","111.96"
"كل أحبك","Fouad Abdulwahed","260888","فؤاد عبدالواحد ٢٠٢٤","2023-12-06","0.586","0.775","11","-6.225","0","0.0862","0.0951","0.000105","0.145","0.257","84.971"
"والله ذلّه - مسرع || عراقي","Museqar FM","272044","Speed Up عراقي","2023-11-25","0.384","0.923","8","-3.574","0","0.195","0.191","6.46e-05","0.587","0.735","124.133"
"K.","Cigarettes After Sex","320030","Cigarettes After Sex","2017-06-09","0.454","0.4","3","-10.261","1","0.0265","0.139","0.846","0.137","0.327","93.719"
"The Color Violet","Tory Lanez","226466","Alone At Prom","2021-12-10","0.645","0.534","6","-10.8","0","0.0479","0.157","0.0","0.0863","0.463","105.02"
"Sunsetz","Cigarettes After Sex","215150","Cigarettes After Sex","2017-06-09","0.405","0.479","5","-9.396","1","0.0301","0.0527","0.795","0.0974","0.131","75.37"
"Somewhere Only We Know","Keane","236160","Hopes And Fears","2004-01-01","0.453","0.655","9","-4.22","1","0.0259","0.0794","7.61e-06","0.0849","0.368","172.012"
"Sabry Aalil","Sherine","289227","Garh Tany","2003-01-01","0.727","0.933","5","-6.008","1","0.0545","0.259","1.48e-05","0.326","0.962","99.972"
"يا ابن الأوادم","Abdul Majeed Abdullah","295648","عالم موازي","2021-09-02","0.679","0.792","4","-6.795","0","0.0594","0.228","0.0","0.267","0.681","114.26"
"Romantic Homicide","d4vd","132630","Romantic Homicide","2022-07-20","0.571","0.544","6","-10.613","1","0.0299","0.453","0.00805","0.322","0.216","132.052"
"FREEZING COLD","Robi, Aerozen, Tussin","178607","COLDMODE","2023-12-28","0.67","0.674","11","-5.608","0","0.046","0.0878","0.0","0.114","0.266","137.032"
"Fana","Jador, Manele Mentolate","158740","Fana","2023-12-06","0.808","0.792","9","-4.846","1","0.0767","0.0762","7.22e-06","0.0609","0.84","126.991"
"Sistem Otoman","Tony One, Costel Biju","163199","Sistem Otoman","2024-01-12","0.797","0.672","1","-4.434","1","0.121","0.0226","0.00373","0.119","0.496","178.118"
"Romeo si Julieta","Alex Botea","204445","Romeo si Julieta","2023-10-24","0.721","0.927","10","-3.184","0","0.0599","0.106","0.0192","0.0351","0.97","161.993"
"Ciocolata","Tzanca Uraganu","169697","Ciocolata","2023-08-09","0.772","0.787","0","-4.405","0","0.097","0.116","0.00123","0.271","0.736","173.993"
"ZENUZILE","Aerozen","78500","Sir PartyPackz al III-lea","2023-09-13","0.801","0.668","5","-6.676","1","0.11","0.0343","2.61e-05","0.0896","0.707","164.089"
"SUS","Robi, Aerozen, Sapte","244788","COLDMODE","2023-12-28","0.684","0.802","1","-6.887","1","0.0784","0.0406","4.02e-05","0.195","0.719","143.955"
"BELLY DANCE","RAVA","103384","FLAWLE$$ - EP","2023-12-27","0.55","0.915","5","-4.198","0","0.0469","0.105","0.0","0.718","0.143","130.02"
"Pe un pat","Iuly Neamtu, Manele Mentolate","157333","Pe un pat","2023-05-17","0.671","0.803","7","-3.713","0","0.133","0.0756","0.0","0.122","0.403","179.902"
"Țigancă Balcanică","Tzanca Uraganu, Manele Mentolate","137538","Țigancă Balcanică","2023-07-27","0.962","0.794","4","-3.458","0","0.0468","0.295","1.44e-05","0.242","0.975","129.993"
"HOT - From Miami Bici 2 The Movie","Tzanca Uraganu, Andrei G, Ministerul Manelelor","170526","HOT (From Miami Bici 2 The Movie)","2023-10-13","0.925","0.716","11","-4.269","0","0.0969","0.137","3.29e-06","0.0838","0.492","95.051"
"COLDBOYS","Aerozen, FLORIS, Dani, Tussin, Lil Alex","176842","COLDBOYS","2023-12-07","0.699","0.736","11","-6.911","1","0.109","0.000503","0.000462","0.274","0.367","151.954"
"GEME","RAVA","132575","GEME","2023-08-22","0.847","0.501","9","-7.715","1","0.115","0.149","4.39e-06","0.106","0.798","161.996"
"RUPE-TE MAMI","4 226, RAVA, Ravisval, BITTNER, Giovanni, BROKN, EXPOSURE","162461","CO$ANO$TRA","2023-09-01","0.857","0.779","1","-5.133","1","0.256","0.451","7.95e-06","0.0396","0.96","130.015"
"Te vreau","Lele, Manele VTM","159230","Te vreau","2023-09-15","0.886","0.683","11","-4.32","0","0.0488","0.0545","0.0","0.0713","0.829","129.91"
"Papusa Barbie","Alex Botea","210811","Papusa Barbie","2022-05-16","0.825","0.725","1","-5.406","1","0.0692","0.225","0.000957","0.0792","0.972","148.087"
"CLEOPATRA","IDK","188388","CARTEA JUNGLEI","2023-11-10","0.608","0.637","8","-5.81","1","0.26","0.175","4.69e-06","0.145","0.691","82.944"
"Tati, vreau","Alex Velea, George Talent","128181","Tati, vreau","2022-11-25","0.815","0.842","9","-5.254","1","0.223","0.197","3.45e-06","0.269","0.716","175.818"
"Cariceps","Dani Mocanu, Alex Velea","146307","Cariceps","2023-07-13","0.963","0.809","5","-3.462","0","0.0542","0.0612","0.0","0.0985","0.949","129.936"
"Decibeli","Alex Botea","234925","Decibeli","2023-12-18","0.835","0.944","0","-3.184","1","0.0633","0.0562","0.128","0.0803","0.935","124.994"
"Gipsy Style","Costel Biju","188355","Gipsy Style","2023-03-12","0.792","0.845","9","-3.339","0","0.0615","0.0511","0.000154","0.0574","0.961","157.948"
"La tine și la bani - From ""Romina VTM"" The Movie","rares, Bogdan DLP","145617","La tine și la bani (From ""Romina VTM"" The Movie)","2022-12-09","0.644","0.696","10","-5.116","0","0.158","0.359","0.0","0.0871","0.65","177.773"
"SUNETE 2","andrei, DZWS, BEN","134519","SUNETE 2","2023-06-23","0.88","0.606","1","-10.446","0","0.0772","0.218","0.17","0.0878","0.0758","116.06"
"GINN","Aerozen","138000","Sir PartyPackz al III-lea","2023-09-13","0.798","0.777","8","-6.781","0","0.1","0.0107","0.0","0.11","0.678","156.98"
"Fancy","Iuly Neamtu, Manele Mentolate","118250","Fancy","2023-09-15","0.943","0.743","1","-6.097","0","0.161","0.107","0.0","0.0969","0.819","99.986"
"Fata cu paharul","Iuly Neamtu, Manele Mentolate","142165","Fata cu paharul","2022-03-04","0.705","0.616","6","-4.603","0","0.21","0.0665","0.0","0.12","0.413","171.956"
"Seara De Seara","Stefan Costea, Alex Bittman, Pitariu George","173913","Miss Dior","2022-05-21","0.747","0.401","10","-6.246","1","0.0374","0.332","1.69e-06","0.112","0.226","118.727"
"Ebal - From “Romina VTM” The Movie","Bogdan DLP, Alex Velea","148238","Ebal (From “Romina VTM” The Movie)","2022-11-26","0.911","0.743","9","-5.262","1","0.177","0.179","0.000326","0.108","0.772","144.057"
"CTT","LilCagula, Mgk666","177428","CTT","2023-12-16","0.708","0.643","3","-8.887","0","0.218","0.363","0.0","0.0867","0.923","180.027"
"Ping Pong","Andrei G, Ministerul Manelelor","187200","Ping Pong","2023-08-25","0.734","0.863","1","-3.492","1","0.0419","0.193","0.0","0.0837","0.678","100.025"
"Cum O Dai Tu","Iuly Neamtu, Manele Mentolate","141333","Cum O Dai Tu","2021-07-21","0.839","0.646","2","-7.769","1","0.107","0.0408","1.33e-05","0.114","0.616","179.973"
"MARATON - From ""Haita De Acțiune"" The Movie","M.G.L.","158297","MARATON (From ""Haita De Acțiune"" The Movie)","2023-03-10","0.724","0.708","4","-5.868","0","0.0424","0.107","0.0","0.153","0.19","93.985"
"Amore","Iuly Neamtu, Manele Mentolate","158095","Amore","2023-12-11","0.849","0.712","5","-3.025","0","0.139","0.427","0.0","0.105","0.712","125.949"
"Pentru ca","Andia, Deliric","192000","Pentru ca","2023-10-05","0.608","0.628","5","-7.757","0","0.0353","0.0301","0.0","0.08","0.435","130.005"
"Emirate","Tzanca Uraganu, Manele Mentolate","129000","Emirate","2023-03-24","0.752","0.88","6","-4.033","1","0.248","0.0667","9.34e-05","0.309","0.854","160.046"
"Stai nu fugi","Mgk666, Nutu","163516","Bun Venit Acasa","2023-09-15","0.735","0.647","11","-7.761","1","0.354","0.136","0.0","0.0912","0.435","91.091"
"Taramul interzis","The Urs","170898","Taramul interzis","2023-09-22","0.593","0.496","6","-5.68","1","0.0712","0.5","0.0","0.1","0.343","139.475"
"CONTACT FATAL 2","M.G.L.","145846","CONTACT FATAL 2","2022-07-22","0.804","0.702","8","-6.583","1","0.0821","0.237","0.0","0.252","0.546","130.075"
"TULUM","Peso Pluma, Grupo Frontera","209415","GÉNESIS","2023-06-29","0.557","0.866","6","-4.454","1","0.0503","0.394","0.0","0.11","0.631","167.767"
"PUNTO G","Quevedo","151324","DONDE QUIERO ESTAR","2023-01-20","0.751","0.761","11","-4.113","0","0.15","0.251","0.000238","0.0991","0.553","92.032"
"Pobre Corazón - En Vivo","Ke Personajes, Onda Sabanera","198930","Pobre Corazón (En Vivo)","2023-03-02","0.463","0.84","10","-4.781","0","0.0475","0.0445","0.0","0.443","0.466","91.038"
"Frágil","Yahritza Y Su Esencia, Grupo Frontera","160517","Obsessed Pt. 2","2023-09-08","0.605","0.726","6","-4.515","1","0.0309","0.365","0.0","0.112","0.393","149.918"
"Amanecemos","La Joaqui, Alan Gomez","198183","Amanecemos","2023-03-16","0.494","0.504","5","-6.242","1","0.111","0.179","0.00198","0.2","0.459","84.916"
"VISTA AL MAR","Quevedo","180672","DONDE QUIERO ESTAR","2023-01-20","0.759","0.561","0","-5.643","0","0.131","0.803","0.121","0.101","0.491","104.915"
"Yandel 150","Yandel, Feid","216148","Resistencia","2023-01-13","0.783","0.729","6","-3.549","0","0.0691","0.0492","0.000272","0.1","0.58","167.968"
"UNA BALA","Milo j, Peso Pluma","183890","111","2023-11-30","0.6","0.6","11","-4.687","0","0.0383","0.41","0.0","0.547","0.551","95.825"
"Tá OK","DENNIS, MC Kevin o Chris","92093","Tá OK","2023-05-04","0.863","0.96","11","-1.458","1","0.0492","0.497","0.00526","0.0853","0.586","130.118"
"Tata","Slow J","159751","Afro Fado","2023-11-24","0.571","0.718","5","-4.836","1","0.425","0.771","0.0298","0.104","0.491","92.023"
"POCPOC","PEDRO SAMPAIO","127384","POCPOC","2023-11-23","0.837","0.636","10","-4.206","0","0.0521","0.239","0.0","0.0683","0.857","129.891"
"Carro (feat. Dillaz)","Bárbara Bandeira, Dillaz","202624","Finda","2023-10-06","0.733","0.53","3","-7.113","0","0.0338","0.66","0.0","0.142","0.47","114.972"
"10 Carros","Chefin, Mainstreet, LB Único","141176","10 Carros","2023-11-24","0.644","0.6","0","-4.805","0","0.415","0.15","0.0","0.131","0.518","136.189"
"Tenho Que Me Decidir","MC PH, Borges, WIU, Pedro Lotto, WEY","232258","O Cara Do Momento","2023-11-29","0.795","0.603","1","-6.703","1","0.0775","0.392","0.0","0.118","0.753","124.109"
"Frevo em Prelúdio","GBoss","150929","Frevo em Prelúdio","2024-01-04","0.77","0.511","4","-11.918","0","0.208","0.28","1.69e-05","0.0869","0.451","96.996"
"Let's Go 4","Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7","641941","Let's Go 4","2023-08-29","0.782","0.631","10","-8.473","0","0.592","0.123","0.0","0.0808","0.866","113.427"
"Depois de Ontem","GBoss","158894","Depois de Ontem","2023-09-12","0.637","0.545","7","-8.244","0","0.0483","0.138","0.0","0.463","0.197","129.953"
"Tengo","Juliette","129692","Ciclone","2023-08-25","0.729","0.855","3","-4.405","0","0.0521","0.25","0.0","0.143","0.943","129.964"
"Novo Balanço","Veigh, Bvga Beatz, Prod Malax, Supernova Ent","140322","Dos Prédios Deluxe","2023-05-19","0.836","0.499","3","-5.82","0","0.0563","0.669","0.0","0.134","0.65","124.05"
"Faz um Vuk Vuk (Teto Espelhado)","MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho","138461","Faz um Vuk Vuk (Teto Espelhado)","2023-07-20","0.92","0.413","7","-7.901","0","0.0752","0.504","0.0514","0.133","0.679","130.078"
"Fogo","Slow J","170400","Afro Fado","2023-11-24","0.765","0.523","7","-7.326","1","0.313","0.597","2.68e-06","0.127","0.413","97.98"
"DENTRO DA HILUX","Luan Pereira, Mc Daniel, MC Ryan SP","163013","DENTRO DA HILUX","2023-08-24","0.728","0.527","6","-6.347","0","0.091","0.0906","0.0","0.0861","0.333","129.978"
"Baile do Bruxo","Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis","221538","Baile do Bruxo","2023-09-29","0.734","0.228","7","-4.731","0","0.53","0.889","0.00642","0.102","0.522","162.524"
"Alma Nua","Van Zee","205637","do.mar","2023-12-01","0.677","0.404","8","-6.132","0","0.296","0.822","2.64e-06","0.106","0.622","75.905"
"Lapada Dela - Ao Vivo","Grupo Menos É Mais, Matheus Fernandes","159322","Confia (Ao Vivo)","2023-01-20","0.691","0.752","4","-6.796","0","0.157","0.708","6.07e-06","0.912","0.684","167.073"
"CorDaPele","Slow J","178815","Afro Fado","2023-11-24","0.845","0.544","4","-7.96","0","0.199","0.578","0.00154","0.129","0.574","110.002"
"Chamadas","Ivandro, Van Zee","156672","Chamadas","2023-09-29","0.644","0.632","8","-7.903","0","0.215","0.772","4.39e-05","0.262","0.51","99.94"
"Chakras","Ivandro, Julinho Ksd","196384","Chakras","2023-04-28","0.761","0.786","6","-7.687","1","0.142","0.72","0.000944","0.122","0.502","99.993"
"Poesia Acústica 15","Pineapple StormTv, Salve Malak, Mc Poze do Rodo, Luiz Lins, MC Hariel, Azzy, JayA Luuck, Oruam, Slipmami, MC Cabelinho, Chefin","680816","Poesia Acústica 15","2023-12-24","0.667","0.709","5","-4.276","0","0.0748","0.457","0.0","0.126","0.435","98.018"
"Nosso Quadro","AgroPlay, Ana Castela","173698","Agroplay Verão","2023-08-18","0.694","0.709","9","-4.821","1","0.196","0.334","0.0","0.329","0.606","160.042"
"Loucura","Borges, MC Cabelinho, Veigh, RUXN, Palma, Kizzy","179945","Amor e Ódio","2023-12-13","0.682","0.668","0","-6.586","0","0.104","0.496","0.0","0.171","0.644","120.088"
"Ultimamente","Slow J","222427","Afro Fado","2023-11-24","0.643","0.505","6","-9.865","0","0.117","0.853","3.15e-06","0.223","0.534","62.795"
"Sem Ti","Slow J","155614","Afro Fado","2023-11-24","0.786","0.418","11","-10.33","0","0.221","0.386","0.0","0.1","0.367","139.939"
"PIÑA COLADA","LON3R JOHNY, Plutonio","202388","PIÑA COLADA","2023-07-29","0.7","0.587","11","-10.501","0","0.316","0.682","0.00191","0.117","0.115","134.092"
"Tempo","Van Zee","188735","Tempo","2020-02-12","0.686","0.238","5","-14.54","1","0.279","0.884","0.00108","0.23","0.414","177.882"
"UH LA LA LA","LON3R JOHNY, Plutonio","180300","ANTI$$OCIAL","2023-04-01","0.855","0.551","0","-7.655","1","0.153","0.104","0.192","0.382","0.547","119.979"
"Tipo Hollywood","Mc Ws da leste, MC Cothiê, Dj Chadin do C","109384","Tipo Holywood","2023-09-19","0.638","0.566","6","-1.788","1","0.192","0.409","7.27e-06","0.0852","0.707","86.885"
"Como Tu (feat. Ivandro)","Bárbara Bandeira, Ivandro","207873","Finda","2023-10-06","0.562","0.671","1","-8.672","0","0.437","0.665","5.86e-06","0.4","0.43","187.57"
"Engana Dizendo Que Ama","Veigh, Tz da Coronel, Toledo, Nagalli, Bvga Beatz, Supernova Ent","188497","Dos Prédios Deluxe","2023-05-19","0.789","0.356","6","-10.396","0","0.362","0.542","0.0","0.145","0.532","111.937"
"Amar De Cor","Van Zee","165424","do.mar","2023-12-01","0.678","0.484","4","-5.373","0","0.0464","0.366","0.453","0.09","0.167","119.544"
"Devia Ir","Wet Bed Gang","293748","Devia Ir","2018-07-20","0.695","0.513","0","-8.014","0","0.404","0.645","0.0","0.23","0.445","94.116"
"Plaster","Szpaku, Deemz","155056","CERBER EP","2024-01-06","0.43","0.797","4","-4.703","0","0.231","0.0181","0.0","0.251","0.119","178.207"
"Jestem Twoją Bajką","Kleks, sanah","174557","Akademia Pana Kleksa","2023-12-01","0.579","0.45","6","-7.496","1","0.108","0.129","0.0","0.166","0.216","79.725"
"Dzięki, że jesteś","Lanberry, Tribbs","150937","Dzięki, że jesteś","2023-10-05","0.661","0.775","0","-5.647","1","0.0508","0.0666","0.0","0.198","0.694","128.001"
"Erotyczne Pif-Paf","Figo i Samogony","175582","Erotyczne Pif-Paf","2022-08-11","0.778","0.78","11","-5.666","0","0.0638","0.0765","0.00827","0.245","0.803","140.046"
"Death note","Chivas","162000","Death note","2024-01-17","0.502","0.653","11","-5.508","0","0.0479","0.147","0.0","0.366","0.712","160.155"
